epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2348,1.59574,3.14266,1.31466,0.64844,0.61004,0.64109,0.37614,1.44944,1.96352,1.40779,0.00999946,0.00333315,0.00999946,0.00333315,0.00999946,0.00333315,0.00999946,0.00333315
2,4163.55,1.68968,1.90947,1.39247,0.66673,0.62481,0.65876,0.38604,1.45318,1.5585,1.4375,0.0190095,0.0063365,0.0190095,0.0063365,0.0190095,0.0063365,0.0190095,0.0063365
3,5927.02,1.7437,1.82463,1.44673,0.64769,0.62663,0.64885,0.38429,1.50846,1.49768,1.50565,0.0270295,0.00900984,0.0270295,0.00900984,0.0270295,0.00900984,0.0270295,0.00900984
4,7634.95,1.73781,1.73342,1.45685,0.70456,0.66381,0.71161,0.42909,1.44606,1.34388,1.45539,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,9428.2,1.68578,1.55509,1.42957,0.72374,0.68586,0.7428,0.4555,1.39899,1.1676,1.42258,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,11246.5,1.64853,1.44485,1.40883,0.74371,0.682,0.74672,0.4629,1.35683,1.09222,1.38038,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,12974.9,1.61942,1.37583,1.38555,0.74385,0.7177,0.77094,0.48476,1.33443,1.03424,1.36213,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,14712.2,1.59319,1.30517,1.3661,0.78081,0.72882,0.78714,0.50081,1.30184,0.97871,1.34988,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,16433.4,1.56644,1.2655,1.35112,0.77484,0.73527,0.79383,0.50821,1.28414,0.94466,1.3319,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,18176.6,1.55275,1.22771,1.34597,0.78237,0.75054,0.80387,0.5194,1.26957,0.89767,1.32017,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,19831.4,1.49781,1.0477,1.38911,0.78845,0.73835,0.79879,0.51433,1.27311,0.88585,1.31431,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,21558.2,1.47027,0.99418,1.36868,0.78895,0.73849,0.7998,0.51643,1.25389,0.84329,1.30029,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,23207.1,1.44619,0.95855,1.35328,0.78192,0.74205,0.79774,0.51754,1.24866,0.83319,1.29809,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,24897,1.4193,0.91603,1.33169,0.80177,0.73999,0.80788,0.52482,1.23423,0.8077,1.29039,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,26550.3,1.39818,0.88093,1.31435,0.79468,0.74614,0.80941,0.52713,1.22272,0.79869,1.27743,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,28230.2,1.3792,0.8469,1.29829,0.79304,0.754,0.81245,0.53043,1.21635,0.79025,1.2686,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,29910.7,1.35716,0.81089,1.28281,0.80301,0.75387,0.81548,0.53392,1.21026,0.77019,1.2643,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,31637,1.33534,0.78258,1.26507,0.80082,0.75596,0.81791,0.53643,1.20776,0.75854,1.26065,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,33402.5,1.32052,0.7581,1.25223,0.80586,0.75549,0.8192,0.53868,1.20324,0.75253,1.25573,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,35279.5,1.29951,0.73639,1.23553,0.80505,0.75868,0.82045,0.54006,1.19795,0.74708,1.25088,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
