epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1979.61,1.62134,2.00896,1.40374,0.57493,0.6436,0.60466,0.35445,1.42445,1.5375,1.42883,0.00999946,0.00333315,0.00999946,0.00333315,0.00999946,0.00333315,0.00999946,0.00333315
2,13753.1,1.63595,1.55585,1.41802,0.64929,0.65153,0.65963,0.39184,1.44479,1.33901,1.45182,0.0190095,0.0063365,0.0190095,0.0063365,0.0190095,0.0063365,0.0190095,0.0063365
3,14992.1,1.66306,1.56059,1.45148,0.65039,0.62618,0.6527,0.38648,1.44329,1.34151,1.48057,0.0270295,0.00900984,0.0270295,0.00900984,0.0270295,0.00900984,0.0270295,0.00900984
4,16148.2,1.65006,1.52157,1.45572,0.67902,0.65793,0.69524,0.41725,1.4144,1.24559,1.4551,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,27471.4,1.58622,1.40503,1.41722,0.71766,0.69414,0.74169,0.45744,1.352,1.13315,1.41785,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,29237.2,1.54417,1.31719,1.38879,0.72611,0.71818,0.75536,0.46761,1.32747,1.08563,1.38318,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,30637,1.51287,1.26867,1.3642,0.75134,0.72999,0.77567,0.48816,1.29938,1.03206,1.36229,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,32301.4,1.48795,1.22034,1.3485,0.75783,0.74118,0.78995,0.50274,1.27208,0.98339,1.33489,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,35812.2,1.46609,1.18717,1.33066,0.76749,0.74719,0.79593,0.51037,1.25203,0.93769,1.32158,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,37746.6,1.44657,1.15028,1.31714,0.77819,0.7514,0.80248,0.51455,1.24166,0.91096,1.30962,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,39750.5,1.42165,1.05497,1.36109,0.78094,0.74087,0.80069,0.51581,1.22383,0.89379,1.29457,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,41408.3,1.3959,1.00949,1.34159,0.77963,0.74493,0.80304,0.521,1.20844,0.87251,1.2795,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,42914.5,1.37208,0.96817,1.32219,0.77462,0.74859,0.80053,0.52117,1.19791,0.85173,1.27029,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,1899.73,1.34826,0.93655,1.30633,0.78196,0.75304,0.80656,0.52696,1.1887,0.83449,1.26201,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,3785.29,1.33266,0.91012,1.29382,0.79363,0.75113,0.81035,0.53023,1.18143,0.81923,1.25781,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,5150.78,1.31418,0.87975,1.27619,0.7926,0.75891,0.8146,0.5333,1.17744,0.8073,1.25256,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,6453.79,1.2963,0.85462,1.26304,0.79794,0.76207,0.81919,0.53684,1.17132,0.79799,1.24574,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,9089.86,1.27589,0.82754,1.24876,0.80388,0.76361,0.82234,0.53931,1.16677,0.78701,1.24123,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,10372.2,1.26115,0.80168,1.23913,0.79995,0.76591,0.82268,0.54104,1.16246,0.7788,1.23807,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,11709.3,1.24109,0.77698,1.22512,0.80278,0.7629,0.824,0.54204,1.1592,0.77368,1.23493,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
