epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1309.16,1.66801,1.97891,1.51112,0.55386,0.52947,0.54158,0.30605,1.44836,1.39907,1.42814,0.000333316,0.000333316,0.000333316
2,2476.57,1.61875,1.43734,1.49316,0.61704,0.51324,0.53477,0.31404,1.39138,1.37316,1.40294,0.000600651,0.000600651,0.000600651
3,3643.72,1.57279,1.32815,1.46619,0.66258,0.51978,0.5514,0.33445,1.33185,1.30802,1.35432,0.000801986,0.000801986,0.000801986
4,4871.9,1.52184,1.23236,1.42672,0.67349,0.55078,0.59248,0.35894,1.29728,1.14559,1.33034,0.000703,0.000703,0.000703
5,6128.53,1.4756,1.13842,1.38823,0.67499,0.57311,0.61459,0.37831,1.26966,1.07233,1.30456,0.000604,0.000604,0.000604
6,7280.39,1.43257,1.0672,1.35986,0.69331,0.59486,0.65084,0.40469,1.22152,0.97518,1.27257,0.000505,0.000505,0.000505
7,8444.79,1.39373,1.00355,1.33129,0.6959,0.61152,0.65588,0.41508,1.20991,0.94258,1.25337,0.000406,0.000406,0.000406
8,9611.15,1.35968,0.95329,1.30664,0.70956,0.61453,0.66731,0.422,1.19419,0.91034,1.24169,0.000307,0.000307,0.000307
9,10767.9,1.33063,0.90981,1.28774,0.7036,0.62462,0.67313,0.42489,1.18785,0.90187,1.23807,0.000208,0.000208,0.000208
10,11937.8,1.30122,0.87021,1.26617,0.70878,0.63834,0.69084,0.44024,1.1713,0.85968,1.22069,0.000109,0.000109,0.000109
